Block Height,Mining Pool,Timestamp,Found In (min),Block Reward (BTC),Fees (BTC),Total Input (BTC),Size (MB),Tx Count
890692,"Foundry USA",2025-04-03T10:32:32.000Z,3,3.138,0.013,6666,0.53,894
890691,"MARA Pool",2025-04-03T10:29:12.000Z,1,3.128,0.003,209,0.08,225
890690,"Foundry USA",2025-04-03T10:28:25.000Z,1,3.127,0.002,53,0.05,130
890689,"MARA Pool",2025-04-03T10:27:53.000Z,5,3.143,0.018,5577,0.83,1232
890688,"Antpool",2025-04-03T10:22:57.000Z,6,3.149,0.024,4650,1.43,2924
890687,"Antpool",2025-04-03T10:16:42.000Z,1,3.140,0.015,791,1.72,2521
890686,"Binance Pool",2025-04-03T10:15:51.000Z,1,3.149,0.024,4464,1.49,1897
890685,"Antpool",2025-04-03T10:14:34.000Z,32,3.197,0.072,6518,1.53,4052
890684,"BTC.com",2025-04-03T09:42:28.000Z,2,3.139,0.014,2538,1.53,1701
890683,"Foundry USA",2025-04-03T09:40:11.000Z,6,3.147,0.022,2599,1.84,1897
890682,"Antpool",2025-04-03T09:34:10.000Z,2,3.146,0.021,1069,1.21,631
890681,"Binance Pool",2025-04-03T09:32:10.000Z,1,3.145,0.020,1371,1.45,1711
890680,"Antpool",2025-04-03T09:31:08.000Z,15,3.174,0.049,11065,1.65,3695
890679,"Foundry USA",2025-04-03T09:15:39.000Z,25,3.185,0.060,4384,1.61,3143
890678,"Foundry USA",2025-04-03T08:50:18.000Z,28,3.177,0.052,5794,1.62,3936
890677,"SECPOOL",2025-04-03T08:21:57.000Z,5,3.145,0.020,4505,1.78,3295
890676,"F2Pool",2025-04-03T08:16:54.000Z,11,3.154,0.029,20997,1.38,2386
890675,"Foundry USA",2025-04-03T08:05:38.000Z,22,3.183,0.058,11173,1.70,3365
890674,"Foundry USA",2025-04-03T07:43:29.000Z,0,3.135,0.010,49,1.30,403
890673,"Foundry USA",2025-04-03T07:43:15.000Z,10,3.161,0.036,2324,1.47,2986
890672,"ViaBTC",2025-04-03T07:33:42.000Z,12,3.168,0.043,3118,1.61,3033
890671,"Foundry USA",2025-04-03T07:21:28.000Z,0,3.137,0.012,185,1.86,983
890670,"Antpool",2025-04-03T07:21:04.000Z,19,3.169,0.044,7086,1.78,2906
890669,"Foundry USA",2025-04-03T07:02:30.000Z,3,3.147,0.022,1698,1.83,2889
890668,"Antpool",2025-04-03T06:59:28.000Z,21,3.175,0.050,4164,1.45,2702
890667,"MARA Pool",2025-04-03T06:38:53.000Z,7,3.150,0.025,1699,1.31,1275
890666,"ViaBTC",2025-04-03T06:31:32.000Z,28,3.166,0.041,4040,1.66,3454
890665,"ViaBTC",2025-04-03T06:03:44.000Z,0,3.135,0.010,146,2.06,2129
890664,"Antpool",2025-04-03T06:03:20.000Z,10,3.151,0.026,1404,1.33,1468
890663,"Luxor",2025-04-03T05:53:16.000Z,29,3.164,0.039,7385,1.59,3352
890662,"ViaBTC",2025-04-03T05:24:41.000Z,-0,3.129,0.004,73,1.15,747
890661,"Foundry USA",2025-04-03T05:24:52.000Z,18,3.160,0.035,3270,1.41,2252
890660,"Foundry USA",2025-04-03T05:06:31.000Z,3,3.130,0.005,542,0.36,494
890659,"F2Pool",2025-04-03T05:03:49.000Z,1,3.128,0.003,123,0.18,264
890658,"Luxor",2025-04-03T05:02:35.000Z,4,3.142,0.017,852,1.50,2307
