Block Height,Mining Pool,Timestamp,Found In (min),Block Reward (BTC),Fees (BTC),Total Input (BTC),Size (MB),Tx Count
889987,"Foundry USA",2025-03-29T15:15:59.000Z,4,3.146,0.021,,1.96,1738
889986,"Foundry USA",2025-03-29T15:12:22.000Z,7,3.147,0.022,,1.45,2332
889985,"Foundry USA",2025-03-29T15:05:03.000Z,4,3.147,0.022,,1.71,2176
889984,"Foundry USA",2025-03-29T15:00:53.000Z,12,3.163,0.038,,1.74,2938
889983,"Foundry USA",2025-03-29T14:48:57.000Z,20,3.171,0.046,,1.42,2533
889982,"Foundry USA",2025-03-29T14:28:44.000Z,1,3.141,0.016,,1.64,464
889981,"Antpool",2025-03-29T14:27:15.000Z,2,3.142,0.017,,1.82,1685
889980,"F2Pool",2025-03-29T14:25:20.000Z,21,3.169,0.044,,1.61,3375
889979,"Antpool",2025-03-29T14:03:52.000Z,10,3.153,0.028,,1.75,2140
889978,"MARA Pool",2025-03-29T13:54:17.000Z,8,3.153,0.028,,1.73,1644
889977,"SpiderPool",2025-03-29T13:46:16.000Z,16,3.167,0.042,,1.75,3139
889976,"MARA Pool",2025-03-29T13:30:25.000Z,18,3.159,0.034,,1.69,3328
889975,"Solo CK",2025-03-29T13:12:09.000Z,6,3.149,0.024,,1.45,1610
889974,"MARA Pool",2025-03-29T13:06:11.000Z,8,3.150,0.025,,1.38,1875
889973,"Foundry USA",2025-03-29T12:58:22.000Z,12,3.162,0.037,,1.60,3373
889972,"Foundry USA",2025-03-29T12:46:04.000Z,26,3.182,0.057,,1.51,3599
889971,"Foundry USA",2025-03-29T12:19:53.000Z,21,3.168,0.043,,1.69,3575
889970,"WhitePool",2025-03-29T11:58:49.000Z,11,3.149,0.024,,1.65,2577
889969,"Foundry USA",2025-03-29T11:47:39.000Z,10,3.150,0.025,,1.58,1899
889968,"Antpool",2025-03-29T11:37:49.000Z,11,3.153,0.028,,1.65,2108
889967,"SECPOOL",2025-03-29T11:26:23.000Z,6,3.146,0.021,,1.71,1343
889966,"Antpool",2025-03-29T11:19:56.000Z,6,3.146,0.021,,2.06,1078
889965,"Foundry USA",2025-03-29T11:13:43.000Z,16,3.156,0.031,,1.54,2713
889964,"MARA Pool",2025-03-29T10:58:10.000Z,5,3.141,0.016,,1.91,1015
889963,"Foundry USA",2025-03-29T10:53:22.000Z,0,3.135,0.010,,2.16,80
889962,"Foundry USA",2025-03-29T10:53:03.000Z,3,3.140,0.015,,1.98,672
889961,"BTC.com",2025-03-29T10:49:39.000Z,11,3.149,0.024,,1.53,2230
889960,"F2Pool",2025-03-29T10:38:32.000Z,11,3.155,0.030,,1.52,2441
889959,"Foundry USA",2025-03-29T10:27:16.000Z,9,3.147,0.022,,1.65,1677
889958,"Foundry USA",2025-03-29T10:18:12.000Z,0,3.135,0.010,,2.16,76
889957,"ViaBTC",2025-03-29T10:18:06.000Z,0,3.135,0.010,,2.13,516
889956,"Foundry USA",2025-03-29T10:17:46.000Z,10,3.148,0.023,,1.57,3378
889955,"SpiderPool",2025-03-29T10:07:30.000Z,5,3.141,0.016,,1.94,852
889954,"SpiderPool",2025-03-29T10:03:00.000Z,10,3.146,0.021,,1.68,3652
889953,"Foundry USA",2025-03-29T09:53:11.000Z,8,3.147,0.022,,1.57,1492
889952,"SpiderPool",2025-03-29T09:45:19.000Z,22,3.162,0.037,,1.59,3540
889951,"Antpool",2025-03-29T09:23:47.000Z,9,3.147,0.022,,1.69,1702
889950,"ViaBTC",2025-03-29T09:15:06.000Z,4,3.142,0.017,,1.84,2412
889949,"Antpool",2025-03-29T09:11:13.000Z,12,3.159,0.034,,1.58,2330
889948,"BitFuFuPool",2025-03-29T08:59:12.000Z,4,3.145,0.020,,1.43,2166
889947,"Foundry USA",2025-03-29T08:54:57.000Z,23,3.169,0.044,,1.58,3151
889946,"Foundry USA",2025-03-29T08:31:49.000Z,14,3.153,0.028,,1.55,3435
889945,"ViaBTC",2025-03-29T08:18:06.000Z,1,3.136,0.011,,2.09,161
889944,"Foundry USA",2025-03-29T08:17:28.000Z,14,3.155,0.030,,1.54,2688
889943,"MARA Pool",2025-03-29T08:03:13.000Z,2,3.140,0.015,,1.84,644
889942,"MARA Pool",2025-03-29T08:01:10.000Z,1,3.144,0.019,,1.23,1277
889941,"Foundry USA",2025-03-29T07:59:54.000Z,18,3.164,0.039,,1.64,2850
889940,"F2Pool",2025-03-29T07:41:27.000Z,25,3.174,0.049,,1.70,3064
889939,"Braiins Pool",2025-03-29T07:16:29.000Z,5,3.146,0.021,,1.34,2160
889938,"SpiderPool",2025-03-29T07:11:18.000Z,17,3.290,0.165,,1.60,3719
889937,"Foundry USA",2025-03-29T06:54:18.000Z,23,3.170,0.045,,1.45,2904
889936,"ViaBTC",2025-03-29T06:31:35.000Z,15,3.158,0.033,,1.55,2423
889935,"Antpool",2025-03-29T06:17:00.000Z,3,3.139,0.014,,1.77,1371
889934,"Antpool",2025-03-29T06:14:21.000Z,14,3.160,0.035,,1.44,2520
889933,"ViaBTC",2025-03-29T06:00:44.000Z,6,3.145,0.020,,1.63,2508
889932,"ViaBTC",2025-03-29T05:55:06.000Z,19,3.164,0.039,,1.54,3050
889931,"Foundry USA",2025-03-29T05:36:16.000Z,1,3.137,0.012,,1.89,199
889930,"SECPOOL",2025-03-29T05:35:45.000Z,14,3.151,0.026,,1.56,2304
889929,"Foundry USA",2025-03-29T05:22:05.000Z,4,3.142,0.017,,1.87,3115
889928,"ViaBTC",2025-03-29T05:18:27.000Z,6,3.144,0.019,,1.75,1646
889927,"Antpool",2025-03-29T05:12:26.000Z,11,3.152,0.027,,1.54,1888
889926,"ViaBTC",2025-03-29T05:01:31.000Z,5,3.148,0.023,,1.42,1438
889925,"F2Pool",2025-03-29T04:56:43.000Z,21,3.162,0.037,,1.50,2548
889924,"Foundry USA",2025-03-29T04:35:50.000Z,3,3.145,0.020,,1.32,1331
889923,"Foundry USA",2025-03-29T04:33:16.000Z,32,3.170,0.045,,1.61,3340
889922,"Foundry USA",2025-03-29T04:01:00.000Z,10,3.149,0.024,,1.70,1581
889921,"Foundry USA",2025-03-29T03:50:38.000Z,6,3.142,0.017,,1.83,947
889920,"Antpool",2025-03-29T03:44:44.000Z,9,3.151,0.026,853,1.68,2837
889919,"MARA Pool",2025-03-29T03:36:03.000Z,8,3.151,0.026,1157,1.61,1443
889918,"SpiderPool",2025-03-29T03:28:26.000Z,6,3.144,0.019,826,1.94,1091
889917,"Foundry USA",2025-03-29T03:22:53.000Z,4,3.143,0.018,550,1.60,2782
889916,"Carbon Negative",2025-03-29T03:19:19.000Z,2,3.146,0.021,595,1.18,906
889915,"SBI Crypto",2025-03-29T03:17:45.000Z,11,3.159,0.034,3174,1.57,3228
889914,"Foundry USA",2025-03-29T03:06:25.000Z,38,3.182,0.057,4975,1.42,2684
889913,"Foundry USA",2025-03-29T02:28:26.000Z,6,3.145,0.020,996,1.79,2443
889912,"ViaBTC",2025-03-29T02:22:00.000Z,6,3.144,0.019,889,1.76,1110
889911,"Foundry USA",2025-03-29T02:16:11.000Z,12,3.152,0.027,1755,1.73,2015
889910,"Luxor",2025-03-29T02:04:16.000Z,4,3.141,0.016,467,1.99,766
889909,"MARA Pool",2025-03-29T02:00:24.000Z,7,3.145,0.020,1507,1.65,1334
889908,"Antpool",2025-03-29T01:53:15.000Z,5,3.143,0.018,1699,1.85,904
889907,"ViaBTC",2025-03-29T01:47:59.000Z,5,3.143,0.018,2809,1.82,1119
889906,"F2Pool",2025-03-29T01:42:39.000Z,9,3.155,0.030,1785,1.60,1781
889905,"Antpool",2025-03-29T01:33:29.000Z,15,3.156,0.031,5396,1.60,2515
889904,"Antpool",2025-03-29T01:18:50.000Z,3,3.147,0.022,509,1.66,1660
889903,"F2Pool",2025-03-29T01:15:24.000Z,2,3.148,0.023,247,1.08,387
889902,"Antpool",2025-03-29T01:13:32.000Z,20,3.175,0.050,6809,1.55,3317
889901,"Antpool",2025-03-29T00:53:54.000Z,27,3.182,0.057,7269,1.44,3043
889900,"Antpool",2025-03-29T00:26:57.000Z,10,3.159,0.034,1682,1.35,1689
889899,"MARA Pool",2025-03-29T00:17:12.000Z,21,3.172,0.047,27385,1.66,3109
889898,"Antpool",2025-03-28T23:55:51.000Z,15,3.163,0.038,3659,1.45,2618
889897,"Foundry USA",2025-03-28T23:40:50.000Z,14,3.167,0.042,2915,1.60,2200
889896,"Antpool",2025-03-28T23:26:22.000Z,14,3.161,0.036,3121,1.47,2165
889895,"Foundry USA",2025-03-28T23:12:36.000Z,16,3.170,0.045,6849,1.54,2999
889894,"ViaBTC",2025-03-28T22:57:06.000Z,-2,3.152,0.027,1732,1.28,1418
889893,"F2Pool",2025-03-28T22:59:17.000Z,28,3.194,0.069,5881,1.63,3090
889892,"ViaBTC",2025-03-28T22:30:53.000Z,8,3.166,0.041,4719,1.72,4186
889891,"Foundry USA",2025-03-28T22:22:35.000Z,0,3.148,0.023,1143,1.52,1793
889890,"ViaBTC",2025-03-28T22:22:15.000Z,5,3.167,0.042,3389,1.77,3631
889889,"Foundry USA",2025-03-28T22:17:08.000Z,2,3.171,0.046,4489,1.71,4193
889888,"SpiderPool",2025-03-28T22:15:18.000Z,30,3.206,0.081,7418,1.70,3612
889887,"ViaBTC",2025-03-28T21:44:55.000Z,21,3.178,0.053,8842,1.61,4137
889886,"Luxor",2025-03-28T21:23:43.000Z,11,3.161,0.036,4321,1.65,3221
889885,"ViaBTC",2025-03-28T21:12:36.000Z,13,3.172,0.047,7804,1.61,2999
889884,"SECPOOL",2025-03-28T21:00:00.000Z,0,3.143,0.018,466,1.36,1302
889883,"Antpool",2025-03-28T20:59:58.000Z,9,3.163,0.038,5330,1.54,3025
889882,"ViaBTC",2025-03-28T20:50:30.000Z,8,3.174,0.049,9348,1.39,2421
889881,"Antpool",2025-03-28T20:42:06.000Z,33,3.211,0.086,16095,1.58,3673
889880,"Foundry USA",2025-03-28T20:09:27.000Z,4,3.146,0.021,2392,1.64,1662
889879,"SpiderPool",2025-03-28T20:05:01.000Z,2,3.141,0.016,373,1.13,514
889878,"Foundry USA",2025-03-28T20:03:14.000Z,8,3.153,0.028,6219,1.38,2032
889877,"Antpool",2025-03-28T19:55:26.000Z,3,3.142,0.017,4961,1.77,4499
889876,"ViaBTC",2025-03-28T19:52:36.000Z,1,3.139,0.014,934,1.14,302
889875,"ViaBTC",2025-03-28T19:51:33.000Z,1,3.139,0.014,873,1.35,1469
889874,"Foundry USA",2025-03-28T19:50:26.000Z,7,3.154,0.029,4615,1.71,2679
889873,"F2Pool",2025-03-28T19:43:29.000Z,10,3.172,0.047,7177,1.55,2357
889872,"Antpool",2025-03-28T19:33:15.000Z,5,3.154,0.029,2688,1.73,1854
889871,"SpiderPool",2025-03-28T19:28:07.000Z,2,3.147,0.022,4521,1.55,941
889870,"Antpool",2025-03-28T19:25:46.000Z,12,3.175,0.050,5507,1.61,2558
